3Mii8C Contador de carga de horas amperios,Ah charged,22 1E 32 ,((A*(2^24))+(B*(2^16))+(C*(2^8))+D)/549.3164 ,0,100000,Ah ,7E5
3Mii8C Celda 50,Vcel 50,22 1E 71 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 51,Vcel 51,22 1E 72 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 52,Vcel 52,22 1E 73 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 53,Vcel 53,22 1E 74 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 54,Vcel 54,22 1E 75 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 55,Vcel 55,22 1E 76 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 56,Vcel 56,22 1E 77 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 57,Vcel 57,22 1E 78 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 58,Vcel 58,22 1E 79 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 59,Vcel 59,22 1E 7A ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 6,Vcel 6,22 1E 45 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 60,Vcel 60,22 1E 7B ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 61,Vcel 61,22 1E 7C ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 62,Vcel 62,22 1E 7D ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 63,Vcel 63,22 1E 7E ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 64,Vcel 64,22 1E 7F ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 65,Vcel 65,22 1E 80 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 66,Vcel 66,22 1E 81 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 67,Vcel 67,22 1E 82 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 68,Vcel 68,22 1E 83 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 69,Vcel 69,22 1E 84 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 7,Vcel 7,22 1E 46 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 70,Vcel 70,22 1E 85 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 71,Vcel 71,22 1E 86 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 72,Vcel 72,22 1E 87 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 73,Vcel 73,22 1E 88 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 74,Vcel 74,22 1E 89 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 75,Vcel 75,22 1E 8A ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 76,Vcel 76,22 1E 8B ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 77,Vcel 77,22 1E 8C ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 78,Vcel 78,22 1E 8D ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 79,Vcel 79,22 1E 8E ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 8,Vcel 8,22 1E 47 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 80,Vcel 80,22 1E 8F ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 81,Vcel 81,22 1E 90 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 82,Vcel 82,22 1E 91 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 83,Vcel 83,22 1E 92 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 84,Vcel 84,22 1E 93 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 85,Vcel 85,22 1E 94 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 86,Vcel 86,22 1E 95 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 87,Vcel 87,22 1E 96 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 88,Vcel 88,22 1E 97 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 89,Vcel 89,22 1E 98 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 9,Vcel 9,22 1E 48 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 90,Vcel 90,22 1E 99 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 91,Vcel 91,22 1E 9A ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 92,Vcel 92,22 1E 9B ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 93,Vcel 93,22 1E 9C ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 94,Vcel 94,22 1E 9D ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 95,Vcel 95,22 1E 9E ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 99,Vcel 99,22 1E A2 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 96,Vcel96,22 1E 9F ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 97,Vcel 97,22 1E A0 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Celda 98,Vcel 98,22 1E A1 ,(A*256+B)/4096 ,2.5,4.2,V ,7E5
3Mii8C Estado de carga,SOC,22 02 8C ,A/2.55 ,0,100,% ,7E5
3Mii8C HV fuente de bloqueo de corriente,I bloqueo HV,22 74 BC ,(A*256+B)/1024 ,0,1000,mA ,7E5
3Mii8C Limite dinamico para cargar corriente,I limit char current,22 1E 1B ,A ,0,250,A ,7E5
3Mii8C Limite dinamico para corriente de descarga,I limit disch current,22 1E 1C ,A ,0,250,A ,7E5
3Mii8C Limite predictivo de corriente de descarga.,I lim pred disch,22 1E 1E ,A ,0,250,A ,7E5
3Mii8C Limite predictivo para la corriente de carga.,I lim pred charge,22 1E 1D ,A ,0,250,A ,7E5
3Mii8C Numero de serie de la unidad de control de la bateria de alto voltaje.,,  ,  ,,,  ,7E5
3Mii8C Resistencia de aislamiento Polo negativo de  en el sistema general de alto voltaje,R aisl general Neg,22 1E 19 ,(A*256+B)*10 ,0,10000,kOhm ,7E5
3Mii8C Resistencia aislamiento  polo negativo bateria de alto voltaje,R aisl Neg,22 1E 1A ,(A*256+B)*10 ,0,10000,kOhm ,7E5
3Mii8C Resistencia de aislamiento más polo en el sistema general de alto voltaje,R aisl general Pos,22 1E 17 ,(A*256+B)*10 ,0,10000,kOhm ,7E5
3Mii8C Resistencia de aislamiento polo positivo batería de alto voltaje,R aisl Pos,22 1E 18 ,(A*256+B)*10 ,0,10000,kOhm ,7E5
3Mii8C Sensor de temperatura 1,T modulo  1,22 1E AE ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 10,T modulo  10,22 1E B7 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 11,T modulo  11,22 1E B8 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 12,T modulo  12,22 1E B9 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 13,T modulo  13,22 1E BA ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 14,T modulo  14,22 1E B ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 15,T modulo  15,22 1E BC ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 16,T modulo  16,22 1E BD ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 17,T modulo  17,22 74 25 ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 2,T modulo  2,22 1E AF ,(A*256+B)/64 ,-20,60,C,7E5
3Mii8C Sensor de temperatura 3,T modulo  3,22 1E B0 ,(A*256+B)/64 ,-20,60,C,7E5
